Tweets,Labels
 causing heavy traffic jams every day . All our efforts to control it are futile . Request to address the issue,1
 Look At This Pathetic Traffic Condition In Areas Like Mamulpet &amp,1
 nTwo trucks collide on Eastern Express highway near Vikhroli flyover. Traffic slow towards due to the accident. n nCC,1
 nTwo trucks collide on Eastern Express highway near Vikhroli flyover. Traffic slow towards due to the accident. n nCC,1
 nTwo trucks collide on Eastern Express highway near Vikhroli flyover. Traffic slow towards due to the accident. n nCC ,1
 the DG Systems has mandated this only as a PILOT project comprising just about HNI exporters &amp,0
! New date for jam session May . Explore how to secure your digital footprint with same time same place!,0
. cars parked in no parking causing traffic jam on road leading to Milan subway from Bandra towards santacruz,1
. cars parked in no parking causing traffic jam on road leading to Milan subway from Bandra towards santacruz,1
. got ice cream trucks to drive around the city and give out free ice cream to everyone going about their day in the heat. The traffic cops the street vendors students employees. n nRespect to the Next Generation Hero,0
. got ice cream trucks to drive around the city and give out free ice cream to everyone going about their day in the heat. The traffic cops the street vendors students employees. n nRespect to the Next Generation Hero,0
. looks like you don u t believe in answering consumer complaints sent on mail. Maybe a complaint on Twitter will elicit a response not a squeak out of them! I should have stuck to your product ud d ude,0
. Sygic Unveils Smart Mobility Platform for City Traffic Management n,1
. U r Awsome and Chill bro ! nHe arranged ice cream trucks to drive around the city and give out free ice cream to The traffic cops the street vendors students employees just chill and beat the heat! n nRespect to the Next Generation Hero,0
. Why have the put a barrier near Oberoi Hotel The police deployed are standing on the sidewalk and having a good time doing nothing. The only outcome of that is slowing down of traffic. Please have it removed.,0
's bigwigs' death due to aviation accidents Sanjay Gandhi Madhavrao Scindia. YS Rajashekhar Reddy and Rajesh Pilot due to a traffic collision. Naturally RG is worried.,1
A Brunswick Road Southbound at the junction of East India Dock Road Lane two of two is partially blocked due to a road traffic collision . Traffic is slow on approach. Use caution.,1
A Brunswick Road Southbound at the junction of East India Dock Road Lane two of two is partially blocked due to a road traffic collision . Traffic is slow on approach. Use caution.,1
A good visual display of how traffic jams occur sometimes due to wrong parking & damaged roads . N,0
A huge drop in car sales in Mumbai in FY when overall India car sales were up . n nThe citys poor infrastucture horrible roads and massive traffic jams keeping car buyers away.,1
A Jagrata happens with permission from authorities . They do not happen on road . n nB Feeding a cow for a minute on the road does not stop traffic . n nNow go and suck Kejriwal after your argument is demolished Mogu,1
a lorry and tempo traveller involved in a brawl resulting in a traffic jam right opposite to Manyat u,1
a lorry and tempo traveller involved in a brawl resulting in a traffic jam right opposite to Manyata Tech Park Near Hebbal. Kindly instruct both drivers to move away from the main road and settle their disoutes.,1
a lorry and tempo traveller involved in a brawl resulting in a traffic jam right opposite to Manyata Tech Park Near Hebbal. Kindly instruct both drivers to move away from the main road and settle their disputes elsewhere.,1
a patch of km traffic was totly blocked due and SP of nayagarh..must have alternate arrangements for traffic as it is main road connected to bbsr from bhanjanagar and dassapalla.,1
a patch of km traffic was totly blocked due and SP of nayagarh..must have alternate arrangements for traffic as it is main road connected to bbsr from bhanjanagar and dassapalla.,1
A product of a relationship forced due to misadventure by his father that got stuck will definitely encourage such relationships. It will create a population with such mixed breed befitting the new definition of secularism.,0
a self contained pollution free noise free &amp,0
A St Leonard's Road Northbound at the junction of East India Dock Road Lane two of two is partially blocked due to a road traffic collision . Traffic is slow on approach. Use caution.,1
A storm strikes at Kolkata today. nCity traffic gets disrupted. One of the main incidents that have taken place is a tree has fallen onto a running bus that has passengers on boarded. Fortunately no injuries has happened till now. n n,1
A traffic jam on a forest highway. No one else gasps at the view. Horns blare impatient and insistent above the soprano squeals of Hill Mynas pealing above the string quartet of cicadas. Then a growl of motors and the gnash of gears as the wheels move on,1
A very long traffic jam from Narayanpur to tengra mod Ramnagar chauraha Varanasi. Have to catch a flight from babatpur airport.This isa regular problem in this area. Do something about this.,1
AAP Maharashtra Transport Wing presented *Memrandom* covering Transport Sanghatans *Paking issue and illegal space encrouchments by Shop owners to DCP traffic Mr. Ashok Morale of Pune Region. n n n,0
Absolute chaos on a metre stretch commuters can u t cross this stretch in nothing less than min . Apathy of school management and traffic police .Extremely illiterate and abnoxious parents blocking the road,0
Absolutely agree to that Sir. VTA suggestions could be incorrect & now it's outdated &a,0
Accident Due To Wrongly Placed Dividers On Road Heavy Traffic Location Cantt Road Infront Of Odean Cinema,1
accident on Vashi Creek Bridge towards Mumbai side lane jamned the traffic no movements of the he vehicles from last min. Need urgent help. n Heavy vehicles just jammed the right sides lanes.,1
Actually shud Widen the road From Civil supplies office Pittie Bungalow RTA Press club service Rd behind Hanuman Temple in bellavista Ft for Traffic Decongestion cc,0
Aftr multiple tweets to govt bodies no actions hv been taken on broken manhole cover one car got stuck in it might be govt is waiting for some playing kid to fall into it to take actions,1
Airtel has dug up a number of road stretches on CVRaman Marg Maharani Bagh area and left them in a state of mess resulting into traffic chaos and inconvenience to residents. Height of irresponsibility.,1
Aise Toh Log GTA Vicecity Mai Traffic Lights Ignore Nai Karte Jaise nBhai Ne Pe Dharti K Bojh Arjun Kapoor ko Ignore kiya.,0
Aise Toh Log GTA Vicecity Mai Traffic Lights Ignore Nai Karte Jaise nBhai Ne Pe Dharti K Bojh Arjun Kapoor ko Ignore kiya.,0
ALE Massive traffic diversions in and around Airport &amp,0
All flyovers of GK are jam. South ex jam. No doubt where there will be no sweet there will be no flies. There will be no traffic if you stop all commercial activities in delhi and declare it only for living.,1
Already is troubling ppl of karanataka from last years and it is continuing by campaigning in City by making traffic jam in Bangalore,1
Already our police force are super idiots. Wonder why they were allowed to control traffic here. Huge road block to for more than an hour after a useless police van gave up,1
also road constructions are going on from agricuture to dalmill naka because of which traffic load has increased ashar it park naka road no &amp,1
Also worst traffic management at Ramdev junction and hanuman hotel. Educated autorick driver messing up traffic,1
Although you had issued . Cus IV dtd . . &amp,0
amethi ko aise bana diye ho ki traffic bhi nikal nhi sakta ..kam se kam bypass to bana dete ..jisse heavy vehicles bahar se hi nikal jati... chhoti c amethi me agr traffic ho to isse bura din kyaa hogaa amethi walo ke lie,0
An Ice Pick is more lethel faster weapon jam it up the nose &amp,0
An officer in shot a scared groundhog after it got stuck in traffic. There had to have been a better way to handle this.,0
And one would think that the Police would actually come ten steps outside the Station to decongest traffic! Naaa... I forget... we're in Sri Lanka... they would rather fine me for crossing a solid line on a remote village road! ud d udc e ud c udffd,0
And what about daily traffic problem on jamalpur bridge every morning people suffering from heavy traffic bcas of improper parking,1
Andai benar berlaku peralihan kerajaan Malaysia beberapa jam sahaja lagi n nMohon kawan kawan berbangsa Cina &amp,0
Another km traffic owing to toll at Vashi. Mega fuel wastage as usual Mr . Need ur help,1
Another traffic logjam at Khaira More Najafgarh....don't know what is MLA Najafgarh doing... n nAnd to remind all of you he doesn't know that there is an ITI and govt. engg. clg under GNCTD near RTRM Hospital Jaffarpur. n n,1
April around pm crossing of Aruna Asaf Ali Marg and Outer Ring Road turning into Africa Avenue. Your CCTV cameras should have it on record. And your traffic policemen on the roads should have noticed it earlier. Unless he u s a VIP!,1
April Bharat Bandh ... Dhaulakuan route is blocked by as taking precautions. This is proving to be menace jam for normal office people. route going to be choked. Take routes properly.,1
Are nai woh toh me n anuja figured out! Mumbai mein traffic hota hai na isliye backup ready rakha tha ud d ude aur mumbai traffic ne tweet like bhi ki thi! ud d ude ud d ude APAN PHAMOUS HO GAYE ud d ude ud d ude ud d ude,0
are private vehicles allowed to ferry school students This car was jam packed with small kids. Shouldn u t the traffic police catch such vehicles,1
are the staff duty only to stand on one of crossing corners and challan the red light jumpers or to challan everyone not following traffic rules Seems the former is true...,0
As a home minister can u give relief to the resident of Navi mumbai Spl Airoli Panvel order to traffic and rto to ensure three wheeler Rikshaw Driver charge according to meter. Your traffic police and Rto afraid of taking action.,1
As Bagdogra Airport is handling the highest traffic today Long queues and delays are expected.. n nOutbound passenger load nFlights Domestic,1
As have you my fellow kindred spirits. I have to admit that for the longest time I've been stuck in my rut of pains of the past battling against the need to express love that was extinguished by the remembered pain of hate and rage returned. Now I can and will again. ud d ude f ud d ude f ud d ude f,0
at Manisha crossing Can u get the traffic board removed from front of signal lights,0
At Pashan Sus road narrow bridge nPeople diver wrong side. Use Shortcut and makeing traffic n,1
At Unkal cross near the President hotel observed that bus does not stop at side of road which is the reason of traffic congestion n reason of Jam please take action on bus drivers,1
Aura plaza same thing going on people park thr cars middle on road and start drinking unsafe for ladies and childrens . It also becoming reason of traffic chaos,0
